" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
INDIA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,5-Mar,"6,477",5,"2,482","2,848",886,124,26,25,81
,8-Jun,"2,782",8,987,"1,222",427,73,20,16,29
 ANDHRA PRADESH                                              ,      9+      ,744,1,324,232,101,37,8,14,27
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,47,903",555,"74,154","46,602","16,699","4,817","1,559","1,405","2,112"
,2-Jan,"29,105",65,"16,315","9,283","2,447",352,112,113,418
,5-Mar,"61,677",230,"31,460","20,266","6,568","1,502",333,279,"1,039"
,8-Jun,"41,111",181,"19,538","12,959","5,318","1,717",550,381,467
 ,      9+      ,"16,010",79,"6,841","4,094","2,366","1,246",564,632,188
Owned ,,,,,,,,,,
,Total,"1,05,359",502,"57,871","28,684","10,391","3,844","1,276","1,096","1,695"
,2-Jan,"13,996",47,"9,396","3,530",594,141,27,45,216
,5-Mar,"43,210",214,"25,067","12,050","3,554","1,036",223,159,907
,8-Jun,"33,883",168,"17,242","9,600","4,140","1,508",495,315,415
 ,      9+      ,"14,270",73,"6,166","3,504","2,103","1,159",531,577,157
Rented ,,,,,,,,,,
,Total,"31,097",35,"11,260","13,502","4,931",745,225,246,153
,2-Jan,"11,085",13,"4,954","4,349","1,437",161,60,52,59
,5-Mar,"13,701",11,"4,411","6,216","2,437",372,94,99,61
,8-Jun,"5,166",6,"1,508","2,506",874,153,43,51,25
 ,      9+      ,"1,145",5,387,431,183,59,28,44,8
Others ,,,,,,,,,,
,Total,"11,447",18,"5,023","4,416","1,377",228,58,63,264
,2-Jan,"4,024",5,"1,965","1,404",416,50,25,16,143
,5-Mar,"4,766",5,"1,982","2,000",577,94,16,21,71
,8-Jun,"2,062",7,788,853,304,56,12,15,27
 ANDHRA PRADESH                                              ,      9+      ,595,1,288,159,80,28,5,11,23
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"25,738",23,"7,772","10,569","5,163","1,186",489,372,164
,2-Jan,"6,384",20,"2,885","2,320",877,170,53,31,28
,5-Mar,"12,537",0,"3,344","5,357","2,793",573,209,137,124
,8-Jun,"5,496",2,"1,286","2,450","1,223",306,135,90,4
 ,      9+      ,"1,321",1,257,442,270,137,92,114,8
Owned ,,,,,,,,,,
,Total,"5,201",2,"1,868","1,993",758,309,144,121,6
,2-Jan,941,1,521,317,75,14,5,4,4
,5-Mar,"2,245",0,827,964,303,103,26,20,2
,8-Jun,"1,458",0,403,580,268,121,54,32,0
 ,      9+      ,557,1,117,132,112,71,59,65,0
Rented ,,,,,,,,,,
,Total,"17,087",11,"4,726","6,955","3,885",809,322,240,139
,2-Jan,"4,573",10,"1,921","1,672",735,144,46,24,21
,5-Mar,"8,581",0,"2,017","3,545","2,181",440,173,113,112
,8-Jun,"3,318",1,684,"1,501",832,168,73,57,2
 ,      9+      ,615,0,104,237,137,57,30,46,4
Others ,,,,,,,,,,
,Total,"3,450",10,"1,178","1,621",520,68,23,11,19
,2-Jan,870,9,443,331,67,12,2,3,3
,5-Mar,"1,711",0,500,848,309,30,10,4,10
,8-Jun,720,1,199,369,123,17,8,1,2
,      9+      ,149,0,36,73,21,9,3,3,4
 ASSAM,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"37,98,360",705,"13,70,360","11,61,505","6,75,460","3,11,240","1,41,575","1,37,515",0
,2-Jan,"3,70,015",90,"2,09,025","1,07,185","35,095","10,890","3,620","4,110",0
,5-Mar,"15,49,435",270,"6,46,345","4,98,570","2,42,905","93,860","37,610","29,875",0
,8-Jun,"12,93,140",285,"3,94,820","4,14,355","2,60,425","1,20,380","54,515","48,360",0
 ,      9+      ,"5,85,770",60,"1,20,170","1,41,395","1,37,035","86,110","45,830","55,170",0
Owned ,,,,,,,,,,
,Total,"32,06,960",530,"11,62,905","9,57,080","5,64,800","2,68,215","1,30,620","1,22,810",0
,2-Jan,"2,44,725",65,"1,42,055","70,750","21,305","6,065","2,205","2,280",0
,5-Mar,"12,59,270",210,"5,49,265","3,94,230","1,87,255","72,745","32,205","23,360",0
,8-Jun,"11,47,900",205,"3,57,840","3,60,725","2,26,575","1,06,830","51,600","44,125",0
 ,      9+      ,"5,55,065",50,"1,13,745","1,31,375","1,29,665","82,575","44,610","53,045",0
Rented ,,,,,,,,,,
,Total,"4,36,930",120,"1,51,375","1,53,585","81,770","32,445","8,355","9,280",0
,2-Jan,"98,200",25,"54,025","28,455","10,125","3,480","1,005","1,085",0
,5-Mar,"2,14,010",40,"68,835","78,740","41,935","16,000","4,285","4,175",0
,8-Jun,"1,03,360",55,"24,495","39,225","24,505","10,290","2,155","2,635",0
 ,      9+      ,"21,360",0,"4,020","7,165","5,205","2,675",910,"1,385",0
Others ,,,,,,,,,,
,Total,"1,54,470",55,"56,080","50,840","28,890","10,580","2,600","5,425",0
,2-Jan,"27,090",0,"12,945","7,980","3,665","1,345",410,745,0
,5-Mar,"76,155",20,"28,245","25,600","13,715","5,115","1,120","2,340",0
,8-Jun,"41,880",25,"12,485","14,405","9,345","3,260",760,"1,600",0
 ANDHRA PRADESH                                              ,      9+      ,"9,345",10,"2,405","2,855","2,165",860,310,740,0
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"33,26,700",625,"12,20,960","10,18,365","5,92,965","2,65,635","1,17,510","1,10,640",0
