" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
 ORISSA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"20,671",0,"9,127","7,446","2,298","1,071",392,307,30
,1-2,"5,414",0,"3,128","1,641",376,145,55,55,14
,3-5,"9,809",0,"4,246","3,686","1,104",492,157,115,9
,6-8,"4,291",0,"1,464","1,699",608,300,133,83,4
 ,      9+      ,"1,157",0,289,420,210,134,47,54,3
Others ,,,,,,,,,,
,Total,"4,544",0,"2,160","1,378",592,258,50,79,27
,1-2,921,0,522,245,77,44,7,14,12
,3-5,"2,053",0,"1,018",624,263,99,14,23,12
,6-8,"1,237",0,518,388,208,79,20,22,2
 ANDHRA PRADESH                                              ,      9+      ,333,0,102,121,44,36,9,20,1
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"69,984",1,"24,905","22,948","9,850","6,112","2,742","3,081",345
,1-2,"10,598",0,"5,808","3,290",772,385,122,138,83
,3-5,"28,430",0,"11,374","9,889","3,633","1,978",720,700,136
,6-8,"21,940",0,"6,132","7,300","3,788","2,369","1,142","1,123",86
 ,      9+      ,"9,016",1,"1,591","2,469","1,657","1,380",758,"1,120",40
Owned ,,,,,,,,,,
,Total,"51,183",1,"15,926","16,389","7,926","5,270","2,518","2,848",305
,1-2,"5,550",0,"2,801","1,831",448,239,79,88,64
,3-5,"19,462",0,"7,175","6,643","2,693","1,590",628,615,118
,6-8,"18,090",0,"4,631","5,807","3,261","2,156","1,081","1,070",84
 ,      9+      ,"8,081",1,"1,319","2,108","1,524","1,285",730,"1,075",39
Rented ,,,,,,,,,,
,Total,"14,539",0,"6,938","5,269","1,377",596,180,166,13
,1-2,"4,217",0,"2,534","1,240",257,103,37,39,7
,3-5,"7,031",0,"3,225","2,664",694,297,79,66,6
,6-8,"2,677",0,"1,006","1,122",333,137,44,35,0
 ,      9+      ,614,0,173,243,93,59,20,26,0
Others ,,,,,,,,,,
,Total,"4,262",0,"2,041","1,290",547,246,44,67,27
,1-2,831,0,473,219,67,43,6,11,12
,3-5,"1,937",0,974,582,246,91,13,19,12
,6-8,"1,173",0,495,371,194,76,17,18,2
 ANDHRA PRADESH                                              ,      9+      ,321,0,99,118,40,36,8,19,1
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"7,813",0,"2,499","2,558","1,220",721,348,450,17
,1-2,"1,391",0,689,460,138,50,24,23,7
,3-5,"3,340",0,"1,146","1,189",514,268,117,103,3
,6-8,"2,177",0,532,689,392,258,142,160,4
 ,      9+      ,905,0,132,220,176,145,65,164,3
Owned ,,,,,,,,,,
,Total,"1,399",0,191,293,254,234,130,297,0
,1-2,104,0,46,33,9,7,5,4,0
,3-5,446,0,81,125,87,65,38,50,0
,6-8,499,0,51,95,103,92,50,108,0
 ,      9+      ,350,0,13,40,55,70,37,135,0
Rented ,,,,,,,,,,
,Total,"6,132",0,"2,189","2,177",921,475,212,141,17
,1-2,"1,197",0,594,401,119,42,18,16,7
,3-5,"2,778",0,"1,021","1,022",410,195,78,49,3
,6-8,"1,614",0,458,577,275,163,89,48,4
 ,      9+      ,543,0,116,177,117,75,27,28,3
Others ,,,,,,,,,,
,Total,282,0,119,88,45,12,6,12,0
,1-2,90,0,49,26,10,1,1,3,0
,3-5,116,0,44,42,17,8,1,4,0
,6-8,64,0,23,17,14,3,3,4,0
,      9+      ,12,0,3,3,4,0,1,1,0
 TAMIL NADU,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,23,42,715",190,"65,42,930","36,76,095","12,67,580","5,19,090","1,75,500","1,40,735","20,595"
,1-2,"20,36,370",20,"13,35,250","5,04,970","1,23,395","43,800","14,300","11,045","3,590"
,3-5,"69,59,540",110,"37,32,785","20,96,320","6,97,245","2,68,385","88,730","65,055","10,910"
,6-8,"28,49,510",55,"13,05,540","9,18,920","3,63,015","1,58,805","53,705","44,245","5,225"
 ,      9+      ,"4,97,295",5,"1,69,355","1,55,885","83,925","48,100","18,765","20,390",870
Owned ,,,,,,,,,,
,Total,"96,34,515",145,"51,97,870","28,12,675","9,33,915","4,07,670","1,44,190","1,20,995","17,055"
,1-2,"15,68,280",10,"10,42,740","3,82,030","88,490","32,515","10,955","8,720","2,820"
,3-5,"52,92,135",80,"29,17,460","15,56,225","4,86,970","1,99,440","69,305","53,770","8,885"
,6-8,"23,44,980",50,"10,91,020","7,42,975","2,86,915","1,32,740","46,990","39,680","4,610"
 ,      9+      ,"4,29,120",5,"1,46,650","1,31,445","71,540","42,975","16,940","18,825",740
Rented ,,,,,,,,,,
,Total,"25,04,120",30,"12,26,275","8,12,270","3,12,960","1,03,630","29,275","16,545","3,135"
,1-2,"4,25,980",10,"2,63,850","1,14,675","31,925","10,200","2,980","1,650",690
